age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,age_group,balance_bin,balance_duration_ratio,age_balance_interaction,previous_contacted,engagement_rate,y
77,retired,married,secondary,no,638,no,no,cellular,7,aug,453,1,-1,0,unknown,>50,low,1.4052863436123348,49126,0,0.0,yes
57,services,married,secondary,no,2476,yes,no,cellular,7,aug,239,1,459,1,success,>50,medium,10.316666666666666,141132,1,0.5,no
79,retired,married,secondary,no,2354,no,no,telephone,7,aug,121,2,-1,0,unknown,>50,medium,19.295081967213115,185966,0,0.0,no
37,admin.,single,secondary,no,262,no,no,cellular,7,aug,305,1,179,5,other,30-50,low,0.8562091503267973,9694,1,2.5,no
37,technician,married,secondary,no,318,no,no,cellular,7,aug,83,1,95,4,other,30-50,low,3.7857142857142856,11766,1,2.0,no
25,student,single,secondary,no,6400,no,no,cellular,7,aug,100,1,-1,0,unknown,<30,high,63.366336633663366,160000,0,0.0,no
49,admin.,married,secondary,no,5361,no,no,cellular,7,aug,70,1,-1,0,unknown,30-50,high,75.50704225352112,262689,0,0.0,no
32,management,single,tertiary,no,697,no,no,cellular,7,aug,119,1,99,3,failure,30-50,low,5.808333333333334,22304,1,1.5,no
34,management,married,tertiary,no,0,yes,no,cellular,7,aug,262,1,99,2,success,30-50,negative,0.0,0,1,1.0,no
44,admin.,single,secondary,no,1534,no,no,cellular,7,aug,166,1,99,2,other,30-50,medium,9.18562874251497,67496,1,1.0,no
26,management,single,tertiary,no,0,no,no,cellular,7,aug,125,1,-1,0,unknown,<30,negative,0.0,0,0,0.0,no
25,management,single,tertiary,no,145,no,no,cellular,7,aug,121,1,-1,0,unknown,<30,low,1.1885245901639345,3625,0,0.0,no
49,technician,married,secondary,no,305,no,no,cellular,7,aug,140,1,99,1,failure,30-50,low,2.1631205673758864,14945,1,0.5,no
42,services,single,secondary,no,3403,yes,no,cellular,7,aug,215,1,99,1,failure,30-50,medium,15.75462962962963,142926,1,0.5,no
58,unemployed,married,secondary,no,687,yes,no,cellular,7,aug,221,1,99,2,success,>50,low,3.0945945945945947,39846,1,1.0,no
47,unknown,married,unknown,no,677,no,no,cellular,7,aug,384,1,99,4,success,30-50,low,1.7584415584415585,31819,1,2.0,no
73,retired,divorced,secondary,no,1092,no,no,cellular,7,aug,390,2,-1,0,unknown,>50,medium,2.792838874680307,79716,0,0.0,yes
33,services,married,secondary,no,1076,no,no,cellular,7,aug,88,1,259,4,failure,30-50,medium,12.089887640449438,35508,1,2.0,no
34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,1,-1,0,unknown,30-50,high,53.81679389312977,239700,0,0.0,no
57,entrepreneur,married,secondary,no,905,no,no,cellular,7,aug,121,1,-1,0,unknown,>50,low,7.418032786885246,51585,0,0.0,no
35,entrepreneur,married,secondary,no,2971,no,no,cellular,7,aug,158,2,95,6,success,30-50,medium,18.68553459119497,103985,1,2.0,no
55,entrepreneur,divorced,secondary,no,538,yes,no,cellular,7,aug,353,2,-1,0,unknown,>50,low,1.5197740112994351,29590,0,0.0,no
71,retired,married,primary,no,2600,no,no,cellular,7,aug,212,1,-1,0,unknown,>50,medium,12.206572769953052,184600,0,0.0,no
41,management,married,tertiary,no,2226,no,no,cellular,7,aug,182,2,99,1,failure,30-50,medium,12.163934426229508,91266,1,0.3333333333333333,no
23,student,single,secondary,no,0,no,no,cellular,7,aug,217,1,99,7,success,<30,negative,0.0,0,1,3.5,no
60,management,single,tertiary,no,1034,yes,no,cellular,7,aug,231,3,-1,0,unknown,>50,medium,4.456896551724138,62040,0,0.0,no
18,student,single,primary,no,1944,no,no,telephone,10,aug,122,3,-1,0,unknown,<30,medium,15.804878048780488,34992,0,0.0,no
63,management,married,tertiary,no,5112,no,no,telephone,10,aug,255,3,-1,0,unknown,>50,high,19.96875,322056,0,0.0,no
60,self-employed,married,tertiary,no,10861,no,no,cellular,10,aug,419,2,-1,0,unknown,>50,high,25.85952380952381,651660,0,0.0,no
47,housemaid,married,primary,no,0,no,no,cellular,10,aug,1225,2,-1,0,unknown,30-50,negative,0.0,0,0,0.0,yes
27,admin.,single,secondary,no,80,no,no,cellular,10,aug,268,1,-1,0,unknown,<30,low,0.29739776951672864,2160,0,0.0,no
37,admin.,married,secondary,no,250,yes,no,cellular,10,aug,70,1,-1,0,unknown,30-50,low,3.5211267605633805,9250,0,0.0,no
27,technician,single,tertiary,no,290,no,no,cellular,10,aug,88,1,-1,0,unknown,<30,low,3.258426966292135,7830,0,0.0,no
33,management,single,tertiary,no,5437,no,no,cellular,10,aug,131,1,98,2,success,30-50,high,41.18939393939394,179421,1,1.0,no
18,student,single,unknown,no,108,no,no,cellular,10,aug,167,1,-1,0,unknown,<30,low,0.6428571428571429,1944,0,0.0,no
39,blue-collar,single,tertiary,no,172,yes,no,cellular,10,aug,248,1,131,1,success,30-50,low,0.6907630522088354,6708,1,0.5,no
46,admin.,married,secondary,no,0,no,yes,cellular,10,aug,225,1,-1,0,unknown,30-50,negative,0.0,0,0,0.0,no
30,student,single,secondary,no,2046,no,no,telephone,10,aug,133,1,-1,0,unknown,<30,medium,15.26865671641791,61380,0,0.0,no
65,unemployed,married,tertiary,no,0,no,no,cellular,10,aug,465,1,-1,0,unknown,>50,negative,0.0,0,0,0.0,yes
54,technician,married,secondary,no,10185,no,no,cellular,10,aug,559,1,70,2,other,>50,high,18.1875,549990,1,1.0,yes
42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success,30-50,high,59.12234042553192,466830,1,0.5,no
33,management,married,tertiary,no,22867,yes,no,cellular,10,aug,73,1,440,2,failure,30-50,high,309.0135135135135,754611,1,1.0,no
32,management,single,tertiary,no,935,no,no,cellular,10,aug,161,2,375,5,failure,30-50,low,5.771604938271605,29920,1,1.6666666666666667,no
59,retired,married,tertiary,no,1425,no,no,cellular,10,aug,489,2,102,1,success,>50,medium,2.9081632653061225,84075,1,0.3333333333333333,yes
38,admin.,married,secondary,no,47,yes,no,cellular,10,aug,120,1,98,5,success,30-50,low,0.3884297520661157,1786,1,2.5,no
48,blue-collar,married,secondary,no,1730,yes,no,cellular,10,aug,158,1,102,1,success,30-50,medium,10.880503144654089,83040,1,0.5,no
22,student,single,unknown,no,3317,no,no,cellular,10,aug,148,1,-1,0,unknown,<30,medium,22.261744966442954,72974,0,0.0,no
59,retired,divorced,tertiary,no,3444,no,no,cellular,10,aug,252,1,185,2,success,>50,medium,13.612648221343873,203196,1,1.0,no
28,blue-collar,single,tertiary,no,1984,yes,no,cellular,10,aug,89,1,98,3,failure,<30,medium,22.044444444444444,55552,1,1.5,no
80,retired,married,unknown,no,355,no,no,telephone,10,aug,156,1,-1,0,unknown,>50,low,2.261146496815287,28400,0,0.0,no
46,blue-collar,married,secondary,no,4855,yes,no,cellular,10,aug,1529,1,397,1,failure,30-50,medium,3.173202614379085,223330,1,0.5,yes
32,self-employed,single,tertiary,no,1815,no,no,telephone,10,aug,235,1,102,2,failure,30-50,medium,7.690677966101695,58080,1,1.0,no
33,admin.,married,secondary,no,95,yes,no,cellular,10,aug,155,1,102,1,success,30-50,low,0.6089743589743589,3135,1,0.5,no
61,self-employed,divorced,tertiary,no,52587,no,no,cellular,10,aug,290,1,-1,0,unknown,>50,high,180.71134020618555,3207807,0,0.0,no
40,blue-collar,married,secondary,no,1508,no,no,cellular,10,aug,153,2,383,1,failure,30-50,medium,9.792207792207792,60320,1,0.3333333333333333,no
52,housemaid,married,primary,no,618,yes,yes,cellular,10,aug,352,2,102,2,failure,>50,low,1.7507082152974505,32136,1,0.6666666666666666,no
71,retired,married,primary,no,10394,no,no,telephone,10,aug,411,1,-1,0,unknown,>50,high,25.228155339805824,737974,0,0.0,no
40,technician,married,secondary,no,694,yes,no,cellular,10,aug,107,4,68,11,success,30-50,low,6.425925925925926,27760,1,2.2,no
26,student,single,secondary,no,1608,no,no,cellular,10,aug,89,2,102,2,success,<30,medium,17.866666666666667,41808,1,0.6666666666666666,no
30,management,married,tertiary,no,805,no,no,cellular,10,aug,134,3,194,1,failure,<30,low,5.962962962962963,24150,1,0.25,no
62,retired,married,primary,no,3738,no,no,telephone,10,aug,151,3,185,1,failure,>50,medium,24.592105263157894,231756,1,0.25,no
50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,30-50,negative,0.0,0,1,0.75,no
32,technician,divorced,secondary,no,0,yes,no,cellular,10,aug,540,2,-1,0,unknown,30-50,negative,0.0,0,0,0.0,yes
23,student,single,tertiary,no,1592,no,no,cellular,10,aug,298,1,-1,0,unknown,<30,medium,5.3244147157190636,36616,0,0.0,no
70,blue-collar,married,primary,no,3075,no,no,telephone,10,aug,74,1,-1,0,unknown,>50,medium,41.0,215250,0,0.0,no
55,admin.,divorced,secondary,no,1693,no,no,cellular,10,aug,247,1,102,3,success,>50,medium,6.826612903225806,93115,1,1.5,no
33,technician,married,secondary,no,218,yes,yes,cellular,10,aug,162,1,161,4,failure,30-50,low,1.3374233128834356,7194,1,2.0,no
31,management,married,tertiary,no,10884,no,no,cellular,10,aug,294,3,98,2,success,30-50,high,36.89491525423729,337404,1,0.5,no
26,student,single,tertiary,no,2,no,no,cellular,10,aug,121,1,102,2,failure,<30,low,0.01639344262295082,52,1,1.0,no
30,management,single,tertiary,no,697,no,no,cellular,10,aug,179,3,102,2,success,<30,low,3.8722222222222222,20910,1,0.5,no
44,management,divorced,tertiary,no,0,no,no,cellular,10,aug,71,1,-1,0,unknown,30-50,negative,0.0,0,0,0.0,no
23,student,single,tertiary,no,0,no,no,cellular,10,aug,213,1,-1,0,unknown,<30,negative,0.0,0,0,0.0,no
63,retired,married,unknown,no,538,no,no,cellular,11,aug,373,2,-1,0,unknown,>50,low,1.4385026737967914,33894,0,0.0,yes
45,management,married,tertiary,no,3857,yes,no,cellular,11,aug,425,2,190,1,failure,30-50,medium,9.053990610328638,173565,1,0.3333333333333333,no
37,admin.,married,tertiary,no,1995,yes,no,cellular,11,aug,48,2,-1,0,unknown,30-50,medium,40.714285714285715,73815,0,0.0,no
68,unknown,married,unknown,no,4092,no,no,telephone,11,aug,329,1,-1,0,unknown,>50,medium,12.4,278256,0,0.0,no
83,retired,married,tertiary,no,6236,no,no,cellular,11,aug,155,1,190,2,failure,>50,high,39.97435897435897,517588,1,1.0,no
31,admin.,single,secondary,no,423,no,no,cellular,11,aug,215,1,-1,0,unknown,30-50,low,1.9583333333333333,13113,0,0.0,no
34,self-employed,married,tertiary,no,2427,no,no,telephone,11,aug,90,3,70,3,failure,30-50,medium,26.67032967032967,82518,1,0.75,no
71,management,married,tertiary,no,13297,no,no,cellular,11,aug,265,1,190,2,failure,>50,high,49.98872180451128,944087,1,1.0,no
57,retired,married,secondary,no,4365,no,no,cellular,11,aug,491,1,-1,0,unknown,>50,medium,8.871951219512194,248805,0,0.0,yes
55,technician,married,tertiary,no,199,no,no,cellular,11,aug,151,1,-1,0,unknown,>50,low,1.3092105263157894,10945,0,0.0,no
73,management,married,secondary,no,683,no,no,telephone,11,aug,181,1,-1,0,unknown,>50,low,3.7527472527472527,49859,0,0.0,no
42,blue-collar,married,primary,no,201,yes,no,cellular,11,aug,265,1,103,3,success,30-50,low,0.7556390977443609,8442,1,1.5,no
64,retired,married,secondary,no,504,no,no,cellular,11,aug,157,1,14,3,other,>50,low,3.189873417721519,32256,1,1.5,no
34,admin.,single,secondary,no,-32,no,yes,cellular,11,aug,89,3,103,2,success,30-50,negative,-0.35555555555555557,-1088,1,0.5,no
24,self-employed,single,tertiary,no,2376,no,no,cellular,11,aug,123,1,106,1,success,<30,medium,19.161290322580644,57024,1,0.5,no
33,entrepreneur,married,unknown,no,73,yes,no,cellular,11,aug,156,1,263,2,failure,30-50,low,0.46496815286624205,2409,1,1.0,no
42,technician,married,unknown,no,1559,no,no,cellular,11,aug,155,1,103,1,success,30-50,medium,9.993589743589743,65478,1,0.5,no
42,unemployed,married,unknown,no,190,no,no,cellular,11,aug,704,2,-1,0,unknown,30-50,low,0.2695035460992908,7980,0,0.0,yes
42,services,single,tertiary,no,94,yes,no,cellular,11,aug,176,2,90,4,failure,30-50,low,0.5310734463276836,3948,1,1.3333333333333333,no
29,student,single,unknown,no,2929,no,no,cellular,11,aug,91,1,-1,0,unknown,<30,medium,31.83695652173913,84941,0,0.0,no
20,student,single,secondary,no,130,no,no,telephone,11,aug,88,1,99,3,failure,<30,low,1.4606741573033708,2600,1,1.5,no
22,student,single,unknown,no,1215,no,no,cellular,11,aug,154,1,-1,0,unknown,<30,medium,7.838709677419355,26730,0,0.0,no
28,student,single,secondary,no,5916,no,no,cellular,11,aug,344,1,81,6,failure,<30,high,17.14782608695652,165648,1,3.0,no
55,technician,divorced,secondary,no,3450,no,no,cellular,11,aug,110,1,-1,0,unknown,>50,medium,31.08108108108108,189750,0,0.0,no
40,admin.,married,tertiary,no,1108,no,no,cellular,11,aug,170,2,112,1,success,30-50,medium,6.47953216374269,44320,1,0.3333333333333333,no
70,housemaid,divorced,primary,no,1311,no,no,cellular,11,aug,651,1,-1,0,unknown,>50,medium,2.0107361963190185,91770,0,0.0,yes
57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,190,5,failure,>50,low,3.505952380952381,33573,1,2.5,no
60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,unknown,>50,medium,4.530562347188264,111180,0,0.0,yes
53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,aug,254,1,-1,0,unknown,>50,medium,17.258823529411764,233253,0,0.0,no
31,management,married,tertiary,no,199,yes,yes,cellular,11,aug,127,2,461,4,success,30-50,low,1.5546875,6169,1,1.3333333333333333,no
48,unemployed,divorced,secondary,no,201,no,no,cellular,11,aug,140,1,-1,0,unknown,30-50,low,1.425531914893617,9648,0,0.0,no
30,management,single,tertiary,no,533,no,no,cellular,11,aug,229,2,99,4,success,<30,low,2.3173913043478263,15990,1,1.3333333333333333,no
60,technician,married,tertiary,no,6573,yes,no,cellular,11,aug,75,1,274,1,failure,>50,high,86.48684210526316,394380,1,0.5,no
61,retired,married,tertiary,no,2557,yes,no,cellular,11,aug,139,3,190,1,success,>50,medium,18.264285714285716,155977,1,0.25,no
78,retired,divorced,secondary,no,631,no,no,telephone,11,aug,95,1,-1,0,unknown,>50,low,6.572916666666667,49218,0,0.0,no
32,management,single,tertiary,no,131,yes,no,cellular,11,aug,112,1,81,1,other,30-50,low,1.1592920353982301,4192,1,0.5,no
31,services,single,tertiary,no,620,no,no,cellular,11,aug,153,1,103,2,failure,30-50,low,4.025974025974026,19220,1,1.0,no
37,management,married,tertiary,no,789,yes,yes,cellular,11,aug,93,1,190,2,other,30-50,low,8.393617021276595,29193,1,1.0,no
39,management,single,tertiary,no,3840,yes,no,cellular,11,aug,315,2,-1,0,unknown,30-50,medium,12.151898734177216,149760,0,0.0,no
20,student,single,secondary,no,53,no,no,cellular,11,aug,203,1,-1,0,unknown,<30,low,0.25980392156862747,1060,0,0.0,no
21,unemployed,single,secondary,no,280,no,no,cellular,11,aug,280,2,-1,0,unknown,<30,low,0.99644128113879,5880,0,0.0,no
34,blue-collar,single,secondary,no,1923,no,no,cellular,11,aug,159,1,-1,0,unknown,30-50,medium,12.01875,65382,0,0.0,no
42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,30-50,low,6.626666666666667,41748,1,2.5,no
26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,<30,low,0.2742857142857143,2496,1,1.5,no
29,management,single,tertiary,no,630,no,no,cellular,11,aug,94,3,-1,0,unknown,<30,low,6.631578947368421,18270,0,0.0,no
33,admin.,divorced,secondary,no,661,yes,no,cellular,11,aug,108,1,99,7,failure,30-50,low,6.064220183486238,21813,1,3.5,no
46,management,married,tertiary,no,1600,yes,yes,cellular,11,aug,1244,1,-1,0,unknown,30-50,medium,1.285140562248996,73600,0,0.0,yes
40,admin.,single,secondary,no,100,yes,no,cellular,11,aug,221,1,461,1,success,30-50,low,0.45045045045045046,4000,1,0.5,no
29,admin.,married,tertiary,no,238,no,no,cellular,11,aug,97,1,78,3,success,<30,low,2.4285714285714284,6902,1,1.5,no
45,admin.,married,secondary,no,1435,yes,no,cellular,11,aug,201,1,103,1,failure,30-50,medium,7.103960396039604,64575,1,0.5,no
55,technician,single,secondary,no,1199,no,yes,telephone,11,aug,91,1,99,10,failure,>50,medium,13.032608695652174,65945,1,5.0,no
39,admin.,married,secondary,no,260,yes,no,cellular,11,aug,175,2,116,2,failure,30-50,low,1.4772727272727273,10140,1,0.6666666666666666,no
55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,>50,low,0.6774193548387096,19635,1,0.5,yes
58,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure,>50,medium,4.893719806763285,58754,1,0.5,no
24,student,single,secondary,no,125,no,no,cellular,11,aug,477,1,-1,0,unknown,<30,low,0.2615062761506276,3000,0,0.0,yes
72,unknown,married,unknown,no,1165,no,no,cellular,11,aug,400,3,-1,0,unknown,>50,medium,2.9052369077306732,83880,0,0.0,yes
81,retired,married,primary,no,0,no,no,telephone,11,aug,198,1,-1,0,unknown,>50,negative,0.0,0,0,0.0,no
42,admin.,married,secondary,no,437,yes,no,cellular,11,aug,120,3,190,1,failure,30-50,low,3.6115702479338845,18354,1,0.25,no
42,blue-collar,married,secondary,no,413,yes,no,cellular,11,aug,589,2,-1,0,unknown,30-50,low,0.7,17346,0,0.0,yes
32,blue-collar,single,tertiary,no,60,yes,yes,cellular,11,aug,248,2,462,1,failure,30-50,low,0.24096385542168675,1920,1,0.3333333333333333,no
23,student,single,secondary,no,480,no,no,cellular,11,aug,162,1,-1,0,unknown,<30,low,2.9447852760736195,11040,0,0.0,no
81,retired,divorced,primary,no,4321,no,no,cellular,11,aug,163,3,-1,0,unknown,>50,medium,26.347560975609756,350001,0,0.0,no
57,management,married,secondary,no,2155,no,yes,cellular,11,aug,82,2,-1,0,unknown,>50,medium,25.96385542168675,122835,0,0.0,no
70,retired,married,unknown,no,4290,no,no,telephone,11,aug,172,2,-1,0,unknown,>50,medium,24.797687861271676,300300,0,0.0,no
36,management,married,tertiary,no,539,no,no,cellular,11,aug,176,1,-1,0,unknown,30-50,low,3.0451977401129944,19404,0,0.0,no
33,management,single,tertiary,no,312,no,no,cellular,11,aug,271,1,369,3,failure,30-50,low,1.1470588235294117,10296,1,1.5,no
40,blue-collar,divorced,secondary,no,0,no,no,cellular,12,aug,266,2,-1,0,unknown,30-50,negative,0.0,0,0,0.0,no
64,management,married,secondary,no,1646,no,no,cellular,12,aug,68,3,-1,0,unknown,>50,medium,23.855072463768117,105344,0,0.0,no
27,student,single,tertiary,no,5291,no,no,cellular,12,aug,345,2,-1,0,unknown,<30,high,15.291907514450868,142857,0,0.0,no
71,retired,divorced,tertiary,no,261,no,no,cellular,12,aug,1117,2,-1,0,unknown,>50,low,0.2334525939177102,18531,0,0.0,yes
66,entrepreneur,married,primary,no,0,no,no,telephone,12,aug,701,1,-1,0,unknown,>50,negative,0.0,0,0,0.0,yes
60,blue-collar,married,primary,no,631,no,no,cellular,12,aug,429,2,-1,0,unknown,>50,low,1.4674418604651163,37860,0,0.0,yes
32,management,single,tertiary,no,3283,no,no,cellular,12,aug,623,2,191,2,success,30-50,medium,5.261217948717949,105056,1,0.6666666666666666,yes
32,services,single,secondary,no,1153,no,no,cellular,12,aug,340,2,-1,0,unknown,30-50,medium,3.3812316715542523,36896,0,0.0,no
37,management,married,tertiary,no,393,yes,no,cellular,12,aug,62,2,104,2,success,30-50,low,6.238095238095238,14541,1,0.6666666666666666,no
44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,12,aug,137,2,104,3,success,30-50,medium,7.753623188405797,47080,1,1.0,no
26,management,single,tertiary,no,141,no,no,cellular,12,aug,74,2,-1,0,unknown,<30,low,1.88,3666,0,0.0,no
25,technician,single,secondary,no,886,no,no,cellular,12,aug,121,1,-1,0,unknown,<30,low,7.262295081967213,22150,0,0.0,no
26,student,single,secondary,no,5296,no,no,telephone,12,aug,127,1,-1,0,unknown,<30,high,41.375,137696,0,0.0,no
31,services,single,secondary,no,181,no,no,cellular,12,aug,182,1,104,1,success,30-50,low,0.9890710382513661,5611,1,0.5,no
32,technician,married,secondary,no,484,yes,no,cellular,12,aug,668,2,463,1,success,30-50,low,0.7234678624813154,15488,1,0.3333333333333333,yes
21,student,single,secondary,no,123,no,no,telephone,12,aug,449,1,-1,0,unknown,<30,low,0.2733333333333333,2583,0,0.0,no
74,retired,married,tertiary,no,20422,no,no,cellular,12,aug,90,2,-1,0,unknown,>50,high,224.41758241758242,1511228,0,0.0,no
35,self-employed,single,tertiary,no,353,no,no,cellular,12,aug,582,1,-1,0,unknown,30-50,low,0.6054888507718696,12355,0,0.0,yes
24,student,single,primary,no,474,no,no,cellular,12,aug,249,1,104,1,success,<30,low,1.896,11376,1,0.5,no
28,technician,single,tertiary,no,0,yes,no,cellular,12,aug,150,1,79,3,success,<30,negative,0.0,0,1,1.5,no
50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,1336,2,-1,0,unknown,30-50,medium,2.0897531787584143,139700,0,0.0,yes
36,management,single,tertiary,no,3850,yes,no,cellular,12,aug,239,2,100,4,failure,30-50,medium,16.041666666666668,138600,1,1.3333333333333333,no
59,housemaid,married,primary,no,182,no,no,cellular,12,aug,90,1,104,2,failure,>50,low,2.0,10738,1,1.0,no
38,admin.,single,secondary,no,245,yes,yes,cellular,12,aug,251,2,117,4,failure,30-50,low,0.9722222222222222,9310,1,1.3333333333333333,no
75,retired,married,primary,no,2970,no,no,cellular,12,aug,641,1,-1,0,unknown,>50,medium,4.626168224299065,222750,0,0.0,yes
20,student,single,primary,no,6991,no,no,cellular,12,aug,178,2,-1,0,unknown,<30,high,39.055865921787706,139820,0,0.0,no
36,admin.,married,tertiary,no,29,no,no,cellular,12,aug,576,1,-1,0,unknown,30-50,low,0.05025996533795494,1044,0,0.0,yes
35,housemaid,married,tertiary,no,11219,no,no,cellular,12,aug,699,2,79,1,failure,30-50,high,16.027142857142856,392665,1,0.3333333333333333,yes
57,admin.,single,secondary,no,2223,no,no,cellular,12,aug,1064,1,-1,0,unknown,>50,medium,2.0873239436619717,126711,0,0.0,yes
40,admin.,married,secondary,no,3138,no,no,cellular,12,aug,238,1,-1,0,unknown,30-50,medium,13.129707112970712,125520,0,0.0,no
41,management,married,tertiary,no,27696,no,no,cellular,12,aug,147,2,104,1,failure,30-50,high,187.13513513513513,1135536,1,0.3333333333333333,no
59,technician,married,secondary,no,116,no,no,cellular,12,aug,398,4,422,3,failure,>50,low,0.2907268170426065,6844,1,0.6,no
30,management,single,tertiary,no,280,no,no,cellular,12,aug,100,1,-1,0,unknown,<30,low,2.772277227722772,8400,0,0.0,no
28,unemployed,single,secondary,no,16,no,no,cellular,12,aug,119,4,-1,0,unknown,<30,low,0.13333333333333333,448,0,0.0,no
53,services,married,secondary,no,341,no,no,cellular,12,aug,90,2,104,2,success,>50,low,3.7472527472527473,18073,1,0.6666666666666666,no
37,admin.,married,secondary,no,3420,no,no,telephone,12,aug,92,1,-1,0,unknown,30-50,medium,36.774193548387096,126540,0,0.0,no
36,management,married,tertiary,no,2987,yes,no,cellular,12,aug,307,1,-1,0,unknown,30-50,medium,9.698051948051948,107532,0,0.0,no
47,technician,married,tertiary,no,2408,no,no,cellular,12,aug,236,1,104,1,success,30-50,medium,10.160337552742616,113176,1,0.5,no
61,management,single,tertiary,no,2,no,no,cellular,12,aug,131,1,114,3,failure,>50,low,0.015151515151515152,122,1,1.5,no
18,student,single,primary,no,608,no,no,cellular,12,aug,267,1,-1,0,unknown,<30,low,2.2686567164179103,10944,0,0.0,no
32,management,married,tertiary,no,1331,no,no,cellular,12,aug,93,1,104,4,success,30-50,medium,14.159574468085106,42592,1,2.0,no
51,retired,divorced,secondary,no,1679,no,no,cellular,12,aug,417,1,365,9,other,>50,medium,4.016746411483253,85629,1,4.5,yes
37,admin.,single,tertiary,no,3954,yes,no,cellular,12,aug,87,1,117,2,failure,30-50,medium,44.93181818181818,146298,1,1.0,no
37,technician,single,secondary,no,300,no,no,cellular,12,aug,82,1,-1,0,unknown,30-50,low,3.6144578313253013,11100,0,0.0,no
34,technician,married,secondary,no,256,yes,no,cellular,12,aug,201,2,267,1,failure,30-50,low,1.2673267326732673,8704,1,0.3333333333333333,no
34,management,single,tertiary,no,48,yes,no,cellular,12,aug,810,3,93,6,failure,30-50,low,0.059186189889025895,1632,1,1.5,yes
43,management,single,tertiary,no,1806,yes,no,cellular,12,aug,161,2,-1,0,unknown,30-50,medium,11.148148148148149,77658,0,0.0,no
35,management,married,tertiary,no,2088,yes,no,cellular,12,aug,94,1,51,3,failure,30-50,medium,21.978947368421053,73080,1,1.5,no
82,retired,married,secondary,no,0,no,no,telephone,12,aug,150,2,-1,0,unknown,>50,negative,0.0,0,0,0.0,no
32,services,married,secondary,no,386,no,no,cellular,12,aug,305,3,104,1,failure,30-50,low,1.261437908496732,12352,1,0.25,no
36,management,single,tertiary,no,7252,no,no,cellular,12,aug,153,1,-1,0,unknown,30-50,high,47.09090909090909,261072,0,0.0,no
43,management,married,tertiary,no,422,no,no,cellular,12,aug,110,1,-1,0,unknown,30-50,low,3.8018018018018016,18146,0,0.0,no
58,blue-collar,divorced,primary,no,1299,no,no,cellular,12,aug,58,1,-1,0,unknown,>50,medium,22.016949152542374,75342,0,0.0,no
64,blue-collar,married,primary,no,1904,no,no,telephone,12,aug,67,2,-1,0,unknown,>50,medium,28.0,121856,0,0.0,no
55,management,married,primary,no,113,no,no,cellular,12,aug,306,1,457,3,failure,>50,low,0.36807817589576547,6215,1,1.5,no
35,admin.,single,secondary,no,3636,no,no,cellular,12,aug,202,1,-1,0,unknown,30-50,medium,17.911330049261085,127260,0,0.0,no
58,services,divorced,secondary,no,462,no,no,cellular,12,aug,332,1,-1,0,unknown,>50,low,1.3873873873873874,26796,0,0.0,no
26,services,single,secondary,no,50,yes,no,cellular,12,aug,153,1,-1,0,unknown,<30,low,0.3246753246753247,1300,0,0.0,no
33,student,married,tertiary,no,476,yes,no,cellular,12,aug,113,1,-1,0,unknown,30-50,low,4.175438596491228,15708,0,0.0,no
69,retired,married,primary,no,324,no,no,cellular,12,aug,875,1,189,4,success,>50,low,0.3698630136986301,22356,1,2.0,yes
33,blue-collar,single,secondary,no,498,no,no,cellular,12,aug,338,2,104,1,success,30-50,low,1.4690265486725664,16434,1,0.3333333333333333,no
23,technician,single,tertiary,no,1502,no,no,cellular,12,aug,96,1,-1,0,unknown,<30,medium,15.484536082474227,34546,0,0.0,no
80,retired,married,secondary,no,1610,no,no,cellular,12,aug,71,1,-1,0,unknown,>50,medium,22.36111111111111,128800,0,0.0,no
57,management,married,secondary,no,7633,no,no,cellular,12,aug,301,1,-1,0,unknown,>50,high,25.274834437086092,435081,0,0.0,no
34,unemployed,single,tertiary,no,415,no,no,cellular,12,aug,123,1,-1,0,unknown,30-50,low,3.346774193548387,14110,0,0.0,no
76,retired,divorced,primary,no,86,no,no,cellular,12,aug,192,1,-1,0,unknown,>50,low,0.44559585492227977,6536,0,0.0,no
49,entrepreneur,single,secondary,no,5802,no,no,cellular,12,aug,175,3,104,2,success,30-50,high,32.96590909090909,284298,1,0.5,no
69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,unknown,>50,low,10.333333333333334,19251,0,0.0,no
32,management,single,tertiary,no,354,no,no,cellular,12,aug,363,1,104,3,success,30-50,low,0.9725274725274725,11328,1,1.5,no
43,technician,married,tertiary,no,2643,no,no,cellular,12,aug,188,3,100,5,success,30-50,medium,13.984126984126984,113649,1,1.25,no
